test_type,threads,nodes,mem,cpu_percent,,time_sec
cores1_run1_7753160,1,1,512,10,,0:16.14
cores1_run2_7753161,1,1,512,9,,0:17.03
cores1_run3_7753162,1,1,512,7,,0:29.52
cores1_run4_7753163,1,1,512,7,,0:29.57
cores1_run5_7753164,1,1,512,7,,0:30.07
cores2_run1_7753165,2,1,512,9,,0:41.56
cores2_run2_7753166,2,1,512,9,,0:41.12
cores2_run3_7753167,2,1,512,9,,0:43.85
cores2_run4_7753168,2,1,512,9,,0:43.86
cores2_run5_7753169,2,1,512,9,,0:43.88
cores4_run1_7753170,4,1,512,155,,0:02.63
cores4_run2_7753171,4,1,512,164,,0:02.25
cores4_run3_7753172,4,1,512,17,,0:24.36
cores4_run4_7753173,4,1,512,164,,0:02.29
cores4_run5_7753174,4,1,512,162,,0:02.32
cores8_run1_7753175,8,1,512,197,,0:01.91
cores8_run2_7753176,8,1,512,187,,0:02.05
cores8_run3_7753177,8,1,512,184,,0:02.11
cores8_run4_7753178,8,1,512,186,,0:02.08
cores8_run5_7753179,8,1,512,187,,0:02.08
cores16_run1_7753180,16,1,512,201,,0:01.91
cores16_run2_7753181,16,1,512,205,,0:01.85
cores16_run3_7753182,16,1,512,204,,0:01.92
cores16_run4_7753183,16,1,512,210,,0:01.88
cores16_run5_7753184,16,1,512,18,,0:24.00
,,,,,,
test_type,threads,nodes,mem,cpu_percent,,time_sec
mem64M_run1_7753185,8,1,64,20,,0:06.88
mem64M_run2_7753186,8,1,64,22,,0:06.50
mem64M_run3_7753187,8,1,64,22,,0:06.37
mem64M_run4_7753188,8,1,64,15,,0:09.68
mem64M_run5_7753189,8,1,64,13,,0:10.44
mem128M_run1_7753190,8,1,128,13,,0:26.62
mem128M_run2_7753191,8,1,128,19,,0:28.88
mem128M_run3_7753192,8,1,128,22,,0:13.76
mem128M_run4_7753193,8,1,128,22,,0:13.52
mem128M_run5_7753194,8,1,128,28,,0:09.91
mem512M_run1_7753195,8,1,512,189,,0:01.94
mem512M_run2_7753196,8,1,512,197,,0:01.91
mem512M_run3_7753197,8,1,512,195,,0:01.97
mem512M_run4_7753198,8,1,512,188,,0:01.96
mem512M_run5_7753199,8,1,512,192,,0:01.98
mem1G_run1_7753200,8,1,1024,196,,0:01.96
mem1G_run2_7753201,8,1,1024,199,,0:01.91
mem1G_run3_7753202,8,1,1024,188,,0:01.97
mem1G_run4_7753203,8,1,1024,197,,0:01.95
mem1G_run5_7753204,8,1,1024,190,,0:01.95
mem3G_run1_7753205,8,1,3072,197,,0:01.94
mem3G_run2_7753206,8,1,3072,198,,0:01.93
mem3G_run3_7753207,8,1,3072,198,,0:01.92
mem3G_run4_7753208,8,1,3072,198,,0:01.93
mem3G_run5_7753209,8,1,3072,199,,0:01.90
,,,,,,
test_type,threads,nodes,mem,cpu_percent,,time_sec
nodes1_run1_7753210,8,1,512,193,,0:02.00
nodes1_run2_7753211,8,1,512,194,,0:02.00
nodes1_run3_7753212,8,1,512,190,,0:01.95
nodes1_run4_7753213,8,1,512,195,,0:01.99
nodes1_run5_7753214,8,1,512,184,,0:02.06
nodes2_run1_7753215,8,2,512,192,,0:01.92
nodes2_run2_7753216,8,2,512,198,,0:01.90
nodes2_run3_7753217,8,2,512,198,,0:01.93
nodes2_run4_7753218,8,2,512,194,,0:01.99
nodes2_run5_7753219,8,2,512,201,,0:01.87
nodes4_run1_7753220,8,4,512,193,,0:02.00
nodes4_run2_7753221,8,4,512,181,,0:02.14
nodes4_run3_7753222,8,4,512,197,,0:01.94
nodes4_run4_7753223,8,4,512,189,,0:01.96
nodes4_run5_7753224,8,4,512,197,,0:01.96
nodes8_run1_7753225,8,8,512,185,,0:02.05
nodes8_run2_7753226,8,8,512,199,,0:01.91
nodes8_run3_7753227,8,8,512,189,,0:01.95
nodes8_run4_7753228,8,8,512,197,,0:01.92
nodes8_run5_7753229,8,8,512,197,,0:01.94
