jobid,type,param,threads,nodes,mem,time_sec,cpu_percent
tasks16,cores,tasks16_run1_8336612,1,1,512,0:03.42,98
tasks16,cores,tasks16_run2_8336613,1,1,512,0:03.38,99
tasks16,cores,tasks16_run3_8336614,1,1,512,0:03.57,99
tasks16,cores,tasks16_run4_8336615,1,1,512,0:03.45,99
tasks16,cores,tasks16_run5_8336616,1,1,512,0:03.39,99
tasks1,cores,tasks1_run1_8336592,1,1,512,0:09.93,13
tasks1,cores,tasks1_run2_8336593,1,1,512,0:04.40,27
tasks1,cores,tasks1_run3_8336594,1,1,512,0:16.79,8
tasks1,cores,tasks1_run4_8336595,1,1,512,0:14.95,10
tasks1,cores,tasks1_run5_8336596,1,1,512,0:14.94,9
tasks2,cores,tasks2_run1_8336597,1,1,512,0:07.06,33
tasks2,cores,tasks2_run2_8336598,1,1,512,0:16.94,15
tasks2,cores,tasks2_run3_8336599,1,1,512,0:19.77,16
tasks2,cores,tasks2_run4_8336600,1,1,512,0:15.70,17
tasks2,cores,tasks2_run5_8336601,1,1,512,0:07.33,33
tasks4,cores,tasks4_run1_8336602,1,1,512,0:04.14,99
tasks4,cores,tasks4_run2_8336603,1,1,512,0:04.75,99
tasks4,cores,tasks4_run3_8336604,1,1,512,0:04.04,98
tasks4,cores,tasks4_run4_8336605,1,1,512,0:04.07,95
tasks4,cores,tasks4_run5_8336606,1,1,512,0:24.56,21
tasks8,cores,tasks8_run1_8336607,1,1,512,0:03.62,99
tasks8,cores,tasks8_run2_8336608,1,1,512,0:03.45,98
tasks8,cores,tasks8_run3_8336609,1,1,512,0:03.49,98
tasks8,cores,tasks8_run4_8336610,1,1,512,0:03.87,99
tasks8,cores,tasks8_run5_8336611,1,1,512,0:03.61,99
mem128M,mem,mem128M_run1_8336627,1,1,128,0:06.94,34
mem128M,mem,mem128M_run2_8336628,1,1,128,0:07.08,34
mem128M,mem,mem128M_run3_8336629,1,1,128,0:07.11,33
mem128M,mem,mem128M_run4_8336630,1,1,128,0:08.13,28
mem128M,mem,mem128M_run5_8336631,1,1,128,0:07.89,31
mem1536M,mem,mem1536M_run1_8336642,1,1,1536,0:03.43,99
mem1536M,mem,mem1536M_run2_8336643,1,1,1536,0:03.76,98
mem1536M,mem,mem1536M_run3_8336644,1,1,1536,0:03.38,98
mem1536M,mem,mem1536M_run4_8336645,1,1,1536,0:03.35,97
mem1536M,mem,mem1536M_run5_8336646,1,1,1536,0:03.87,98
mem1G,mem,mem1G_run1_8336637,1,1,1024,0:03.57,99
mem1G,mem,mem1G_run2_8336638,1,1,1024,0:03.62,99
mem1G,mem,mem1G_run3_8336639,1,1,1024,0:03.78,99
mem1G,mem,mem1G_run4_8336640,1,1,1024,0:04.77,99
mem1G,mem,mem1G_run5_8336641,1,1,1024,0:03.62,97
mem3G,mem,mem3G_run1_8336647,1,1,3072,0:03.43,99
mem3G,mem,mem3G_run2_8336648,1,1,3072,0:03.39,99
mem3G,mem,mem3G_run3_8336649,1,1,3072,0:03.55,99
mem3G,mem,mem3G_run4_8336650,1,1,3072,0:03.41,99
mem3G,mem,mem3G_run5_8336651,1,1,3072,0:03.36,99
mem512M,mem,mem512M_run1_8336632,1,1,512,0:04.01,97
mem512M,mem,mem512M_run2_8336633,1,1,512,0:03.98,98
mem512M,mem,mem512M_run3_8336634,1,1,512,0:04.71,98
mem512M,mem,mem512M_run4_8336635,1,1,512,0:04.88,98
mem512M,mem,mem512M_run5_8336636,1,1,512,0:03.76,97
mem64M,mem,mem64M_run1_8336622,1,1,64,0:03.86,29
mem64M,mem,mem64M_run2_8336623,1,1,64,0:04.99,21
mem64M,mem,mem64M_run3_8336624,1,1,64,0:05.57,19
mem64M,mem,mem64M_run4_8336625,1,1,64,0:03.32,35
mem64M,mem,mem64M_run5_8336626,1,1,64,0:04.86,23
nodes1,nodes,nodes1_run1_8336652,1,1,512,0:04.04,99
nodes1,nodes,nodes1_run2_8336653,1,1,512,0:04.19,99
nodes1,nodes,nodes1_run3_8336654,1,1,512,0:04.07,99
nodes1,nodes,nodes1_run4_8336655,1,1,512,0:12.95,35
nodes1,nodes,nodes1_run5_8336656,1,1,512,0:11.59,36
nodes2,nodes,nodes2_run1_8336657,1,2,512,,
nodes2,nodes,nodes2_run2_8336658,1,2,512,0:04.14,99
nodes2,nodes,nodes2_run3_8336659,1,2,512,0:03.79,99
nodes2,nodes,nodes2_run4_8336660,1,2,512,0:06.91,37
nodes2,nodes,nodes2_run5_8336661,1,2,512,0:03.57,99
nodes4,nodes,nodes4_run1_8336662,1,4,512,0:03.39,99
nodes4,nodes,nodes4_run2_8336663,1,4,512,0:03.94,99
nodes4,nodes,nodes4_run3_8336664,1,4,512,0:03.42,99
nodes4,nodes,nodes4_run4_8336665,1,4,512,3:11.77,7
nodes4,nodes,nodes4_run5_8336666,1,4,512,0:04.66,99
nodes8,nodes,nodes8_run1_8336667,1,8,512,0:04.12,99
nodes8,nodes,nodes8_run2_8336668,1,8,512,0:03.39,99
nodes8,nodes,nodes8_run3_8336669,1,8,512,0:03.56,99
nodes8,nodes,nodes8_run4_8336670,1,8,512,1:52.98,9
nodes8,nodes,nodes8_run5_8336671,1,8,512,0:04.48,99
